PLD (Å),LCD (Å),Sacc (m2/g-1),φ,NCO2 at 10 bar (mol/kg)
5.74816,6.0027,837.66699,0.47725,2.2009957419
19.51272,19.719,2413.69995,0.76503,2.4973603179
16.31454,16.86472,2502.93994,0.74762,2.6453978445
13.20257,13.63704,2262.16992,0.70369,2.542316402
7.29541,8.24978,1463.32996,0.55906,4.6652607955
9.76591,9.9715,1374.06995,0.54992,4.9616269885
7.64416,11.50422,7795.7002,0.83789,5.9404870578
5.7532,6.32614,7445.02002,0.75824,13.4367027348
4.72002,7.67734,2326.67993,0.67864,8.1631079535
5.64925,5.87881,1367.06006,0.59478,3.5640971508
12.10114,14.32155,5205.54004,0.87184,11.1200330226
6.98122,7.53693,3176.15991,0.71748,7.7058821826
7.73396,7.85886,1465.04004,0.57458,2.1657836078
9.94781,10.00281,1770.72998,0.61103,2.0102879224
6.35265,7.06143,1937.55005,0.60387,5.0061292291
13.66038,16.30857,6104.91992,0.83932,7.0414777777
12.29168,13.46817,7309.81006,0.8534,7.3488041
4.40763,5.96864,439.423,0.4734,1.8914447269
24.50311,25.03222,2721.07007,0.77,4.2369666883
24.67919,25.26264,3221.18994,0.78652,6.2860533594
23.92011,24.32238,2344.42993,0.73042,3.2823651591
32.02223,32.33411,2458.26001,0.77238,4.4857839691
38.93275,39.2125,2801.78003,0.81206,4.6040515385
27.22939,27.58431,2234.05005,0.75056,3.6213562749
18.07182,18.53359,1962.89001,0.70656,2.3500380789
9.97186,10.44935,1846.77002,0.6252,4.4151265869
9.29842,9.76614,1564.19995,0.59067,4.4722838341
29.11056,29.29451,1901.73999,0.76208,2.8459697953
32.1037,32.25806,1315.5,0.71935,2.0782934836
29.68302,29.86297,2073.33008,0.78502,2.2123344815
12.07344,12.33825,3341.40991,0.75037,6.960443187
10.15971,10.5607,1313.73999,0.57709,5.3766379165
31.68053,31.93576,2453.84009,0.82388,3.4445664049
21.08432,21.27537,2041.90002,0.69204,3.07395931
21.54252,21.84179,2050.73999,0.71778,2.7593422092
12.63556,13.02066,1459.51001,0.61757,5.0412287704
28.67844,28.86514,1962.54004,0.77062,3.0349102148
11.36215,11.54437,1136.53003,0.55798,5.2761107766
16.56776,16.89202,1721.70996,0.66147,3.1345144851
15.58649,15.79013,1935.71997,0.6834,2.5341839029
22.49727,22.82201,2291.43994,0.75315,2.5876357156
13.84176,14.11638,1841.73999,0.66391,2.8932495151
29.88767,30.08247,1755.21997,0.77404,4.2883205393
31.38514,31.68082,2288.70996,0.77273,3.7984509265
23.42764,23.68646,1787.83997,0.72526,4.8211685086
7.49194,8.39472,5218.75977,0.77203,11.7161966463
7.37376,8.49886,4329.56006,0.74859,13.3160392569
31.32681,31.50292,2066.5,0.73273,2.5889314957
9.73082,10.16494,3541.15991,0.71726,12.3088887271
8.981,9.50439,1114.73999,0.5048,3.7851002005
22.59331,22.7768,1778.12,0.71551,3.477522752
15.93388,16.0767,2786.3999,0.7228,4.2334705394
15.87921,16.17243,1430.90002,0.62858,4.7613571981
35.25057,35.39294,1904.45996,0.79225,3.4888256419
32.73608,32.90312,1914.83997,0.78026,3.5512920208
8.54052,9.02697,917.12201,0.48427,3.395964366
10.69113,11.33369,1461.26001,0.57216,4.3142991882
34.44702,34.61577,1927.94995,0.79281,3.6417758005
22.28222,22.52993,1822.82996,0.73517,2.8664603167
29.34631,29.53267,1935.90002,0.77599,2.9669778376
14.50589,14.87005,1511.42004,0.64616,3.5069802484
15.39744,15.74056,1649.58997,0.67012,2.8320769779
34.82462,34.97957,1871.72998,0.79182,3.410927026
15.76522,16.06665,2174.21997,0.71635,2.8990703066
7.84341,8.45883,1408.23999,0.56871,4.4166211108
7.16546,9.34648,4355.20996,0.74865,14.9404178259
7.98521,9.5929,3984.08008,0.72543,9.5653802193
18.49772,22.89609,8557.29004,0.93775,4.542392811
5.02763,5.60554,1138.80005,0.5691,5.0154300139
5.05582,5.65179,621.33502,0.5521,5.837046087
21.6511,21.90241,1671.43005,0.69497,2.8941413349
23.44472,23.68264,1937.41003,0.73418,3.4119189468
14.56137,14.80414,1609.76001,0.65526,3.5909334515
10.9469,11.39779,1402.31995,0.58702,5.3993075236
18.84768,19.35841,2235.11011,0.75318,6.3363513837
18.58985,19.00793,1896.52002,0.72625,5.559319013
37.54964,37.7406,2652.96997,0.83613,2.5230258309
31.34048,31.52025,1949.42004,0.7784,3.2352131165
7.98976,9.04156,5128.68994,0.7805,17.7985353568
8.50466,9.68318,5315.4502,0.79716,14.3435380389
19.05082,27.45829,6386.62988,0.91614,5.7375648649
24.20917,24.5783,2130.01001,0.73436,4.4147021396
24.5001,24.81511,2467.05005,0.75942,4.7791180787
7.65148,8.38547,514.70801,0.53722,0.954577051
27.51608,27.69352,2252.38989,0.78329,3.0216818482
30.65049,30.71288,2236.40991,0.79404,2.9992682044
29.45895,29.67223,2426.79004,0.80333,2.8973852729
34.39789,34.55962,2458.88989,0.82138,2.8889014918
37.59113,37.61945,2310.25,0.82077,2.8663202197
36.4962,36.62303,2594.13989,0.83577,2.9276725896
55.44838,55.49799,2374.01001,0.86184,2.969442765
60.73781,60.77867,2414.87988,0.87495,2.8981890005
9.83864,10.52235,1355.10999,0.5936,1.3423712105
