PLD (Å),LCD (Å),Sacc (m2/g-1),φ,NCO2 at 10 bar (mol/kg)
12.22862,12.7305,1936.48999,0.63643,3.7249832288
14.32871,14.70936,1705.06995,0.65676,5.4038500607
27.14113,34.56118,7632.5498,0.90721,5.9325316982
5.40988,9.86844,4239.87012,0.72369,9.3574099317
4.09217,4.26472,280.26501,0.43218,1.6258754206
8.87996,8.9758,1887.91003,0.62849,8.532593286
9.26179,9.35662,3301.47998,0.72525,10.4577592405
12.74558,13.0458,1137.10999,0.55676,3.7001707292
12.78481,13.04187,1019.62,0.57778,5.8060257564
8.28768,8.45131,1815.68994,0.62757,2.7357513714
18.69032,20.45325,4020.01001,0.81311,6.9684332622
30.82864,31.00321,2242.76001,0.78767,3.4142253531
23.14667,23.37386,2038.02002,0.74386,3.7368419826
16.8085,17.18555,2647.34009,0.72878,3.5728014774
32.26851,32.49748,2602.62012,0.82131,2.3425816038
23.42499,23.65772,1707.31006,0.7245,3.6732785184
8.56216,9.14896,1128.28003,0.52887,5.0368749881
26.65941,26.99886,4453.25,0.86251,3.5131492257
16.21639,16.54198,1601.43005,0.64798,3.6833097319
17.28794,17.6262,1616.93994,0.6782,5.745242994
25.30476,25.68704,2293.90991,0.73848,4.414188995
18.04318,18.33931,2152.63989,0.6805,1.9375800509
25.21032,25.45909,2609.27002,0.79385,2.6042044907
10.98125,12.52501,5124.43994,0.75873,10.2428327143
10.12633,11.59954,3856.43994,0.71232,7.2799396296
31.98616,32.11213,2488.97998,0.77281,3.821919191
21.24913,21.39054,1387.27002,0.6229,3.2444152045
16.83324,17.12234,2403.04004,0.70765,2.4125405089
24.86859,25.33571,3463.21997,0.83065,3.7526418452
9.65747,11.09613,2302.54004,0.67166,3.2554955232
14.36485,17.57339,8392.83008,0.91796,3.9586551484
10.154,10.72378,8475.03027,0.87418,4.7214546266
11.19865,11.25124,6761.89014,0.80422,9.8290783005
10.08223,10.21407,2580.72998,0.70165,3.2403629255
24.57474,31.85404,8534.80957,0.95931,5.1436518102
14.64627,14.87351,2615.26001,0.72096,3.554139763
26.94152,27.13079,1680.04004,0.75037,5.6412214319
9.7242,10.56229,796.69299,0.57057,3.5349607188
23.89316,24.1474,2112.84009,0.70826,3.2406959759
16.82414,17.17805,1692.73999,0.59693,2.4622502361
9.74184,10.18081,1307.15002,0.57264,4.8595860252
13.58549,14.58226,2771.12012,0.70794,3.2029533483
21.34046,21.55193,1678.69995,0.7095,2.8054567172
9.06842,9.51559,605.03998,0.4842,1.9104112139
15.60159,15.98839,2212.22998,0.7068,2.3779096361
8.40883,9.02368,498.04199,0.53091,3.9492583321
10.67786,11.16226,1501.27002,0.59192,3.3397382438
35.49808,35.70981,2543.05005,0.83528,2.6620223014
11.24577,11.69348,1878.98999,0.61793,2.5030384191
17.10247,17.40166,931.42102,0.52413,1.2879357204
22.83776,23.86923,6042.70996,0.85985,9.9600061053
25.24985,25.75558,3938.86011,0.84708,4.3999805109
23.81541,24.06097,1836.46997,0.72,1.8667606723
32.05735,32.23261,1982.25,0.77406,1.8565634222
16.88399,17.68947,4052.83008,0.814,4.2510148947
38.73254,38.88757,2576.98999,0.84211,2.3415740832
37.57103,37.65768,3115.06006,0.85471,2.8294035354
26.35383,26.54457,2087.62012,0.7667,2.2667038029
25.82308,26.05354,2080.82007,0.77613,4.9402691734
38.80415,38.87484,2615.83008,0.80107,3.6419994787
12.63935,13.00429,1703.72998,0.64686,3.2122571314
19.01342,19.17629,2136.29004,0.73683,3.2660807628
27.09753,27.20541,2185.05005,0.788,2.9411455292
38.96494,39.10948,2624.19995,0.83403,2.3175170089
25.97309,26.2053,2390.20996,0.76615,2.6596916502
38.02857,38.18265,2431.3999,0.82078,2.1424207635
21.23209,21.48076,2268.12988,0.77195,2.1100434591
23.07197,23.97178,5086.93994,0.85531,10.6529855212
21.57563,22.50397,5177.08984,0.8568,9.780294566
10.6711,11.55953,1070.43005,0.57033,2.1168481074
18.67204,18.83659,1512.76001,0.6517,4.4034502533
8.40704,8.94082,1003.71002,0.5054,3.1510834045
10.55911,10.99477,1251.15002,0.55296,3.0422291055
6.02454,6.73973,1045.28003,0.52031,3.0031280109
19.13906,19.38998,1646.42004,0.70693,4.0948594248
21.99696,22.25586,1738.93994,0.7308,4.8477624561
15.82205,16.14031,1643.07996,0.65932,3.9826436017
14.85301,15.16228,1491.92004,0.64361,3.8370503957
21.82039,21.8886,875.01703,0.64564,3.3631465789
21.37782,30.82595,6945.16016,0.93253,5.3980196432
29.18206,29.3658,1965.17004,0.76261,3.0638183502
34.20807,34.38021,2126.71997,0.79858,3.6721569417
28.39359,28.54899,997.479,0.7137,2.2606643996
29.45341,29.61307,2212.42993,0.78412,2.1754614721
30.33059,30.47384,1944.23999,0.78613,7.3986475283
17.50946,17.74283,1771.46997,0.70636,4.069226985
17.39891,18.46826,4381.72021,0.82309,10.849926502
19.00554,19.13609,1811.78003,0.71373,3.7323108504
28.79472,28.86274,936.651,0.71451,1.8260080057
14.17588,16.11614,7239.43018,0.89917,5.3574592087
14.1657,16.1092,6601.52979,0.89554,7.6883887474
16.38605,16.51747,1842.12,0.67382,2.9248527518
14.61452,15.22205,2336.6001,0.72,2.5628194652
25.51861,25.62212,1972.40002,0.74221,2.4299235996
24.38007,24.50352,1920.18005,0.73422,2.444813516
23.23815,23.3108,1885.54004,0.73129,2.4289823145
23.96858,24.14078,1841.44995,0.72704,2.1523924443
20.81746,20.94701,1448.55005,0.68025,1.8369747268
19.26829,19.35467,1469.69995,0.6743,1.6837838245
4.91947,5.5683,631.85797,0.46478,2.8365688028
39.68396,39.9305,2637.72998,0.79808,2.636971072
18.34669,18.5864,1362.32996,0.64221,2.1992043115
17.39813,17.54485,1510.25,0.6812,3.6179330035
43.78149,43.89693,1841.88,0.82443,3.2430962463
10.03478,10.55424,1336.09998,0.58091,3.6533453866
10.03478,10.55424,1489.54004,0.58536,4.2712390129
10.03478,10.55424,1594.46997,0.59539,5.7909856639
27.14794,27.41477,2555.88989,0.80083,3.2065675183
31.82555,31.90137,2335.69995,0.76263,7.1119090881
32.86681,33.03455,2720.17993,0.78805,5.2068663168
16.93789,17.22858,1127.60999,0.64756,1.9471623053
19.33353,19.49908,2090.81006,0.71981,2.9069853343
24.69607,24.82011,2025.39001,0.77125,3.4425818172
11.7271,12.13815,1159.67004,0.5796,1.3058188242
11.85435,12.27828,1228.58997,0.58361,1.9214580115
19.22142,20.2581,4417.16016,0.83159,4.1456381518
9.11507,9.87639,1733.82996,0.62708,3.5045467307
7.25619,7.88214,1194.67004,0.53058,3.4912568368
11.06228,11.3751,1692.01001,0.61999,4.0356453368
10.72674,11.02482,1514.69995,0.58655,2.9447369248
14.44897,15.66519,4133.66016,0.80334,10.9529589266
41.05191,41.18296,2277.42993,0.83019,3.5953821926
9.37565,10.89243,4926.83984,0.79181,11.4895905911
14.43667,14.78901,2002.96997,0.67089,2.8399697968
16.83791,17.15189,2429.28003,0.7208,2.8207278487
5.94566,7.11918,2071.25,0.61417,3.321696544
19.77265,22.16294,7074.95996,0.90228,7.3968306825
9.18961,9.80273,1760.02002,0.61887,2.1364178913
20.79435,21.19984,3865.05005,0.83165,7.8644064234
16.15375,16.51787,1693.45996,0.66858,3.6533921877
18.14826,18.49638,1738.56006,0.68262,2.2913410786
7.26129,8.03185,1407.06006,0.58642,4.44815429
6.48972,7.45349,712.04901,0.48016,1.0559611682
15.35492,15.8509,1737.81006,0.65846,1.5032884509
35.71819,35.86719,2370,0.80469,1.4664675045
25.41555,25.64462,2274.38989,0.78509,2.2898930778
32.79335,33.01595,2573.55005,0.83225,2.0807911897
9.54557,9.6007,829.42902,0.45714,1.4488021456
13.11194,13.17228,1038.40002,0.51924,2.0128618663
10.59437,12.48237,8330.88965,0.8853,4.9542193495
9.58505,10.43754,8104.58984,0.8307,7.7762997232
24.61711,29.01327,8661.80957,0.94786,5.3266767516
10.07551,12.01945,8231.87988,0.87866,5.2198563387
9.7459,10.65169,8189.8501,0.82298,8.4414994825
24.10888,28.27167,8765.76953,0.94317,5.3700682315
8.66316,9.75189,7570.58984,0.80797,8.7984275675
23.74486,28.52567,8234.7998,0.94201,5.8050577135
26.74378,26.95282,2042.22998,0.76682,2.4142754342
13.27242,13.43696,3224.87012,0.73991,11.2268743591
21.96829,23.32506,3348.3501,0.82912,9.1593431782
21.6188,27.24002,7688.12988,0.93364,4.8175087832
46.90899,47.73559,7433.39014,0.94423,5.8371241244
7.14942,8.65264,2895.08008,0.68835,10.5218481693
13.62197,13.99378,1585.51001,0.64561,4.1845019857
27.87325,28.05828,1860.05005,0.76518,2.5565578666
16.60556,16.94837,1579.09998,0.67289,6.7252301895
8.10818,8.32513,1686.30005,0.61247,2.7401695267
25.93049,26.13967,2182.75,0.77892,2.287631275
20.59917,20.89927,2428.56006,0.7619,2.4818575224
21.78847,22.30685,2786.88989,0.80365,2.4480688603
13.19498,13.6119,2485.48999,0.70778,6.4238976613
20.05155,20.15142,1730.32996,0.71855,4.0633970203
24.96336,25.19238,1824.45996,0.74542,3.8880338977
24.69892,24.93763,1883.63,0.74988,3.7676172942
19.84165,19.9592,1674.27002,0.71287,4.0730701454
21.69712,21.95262,1768.96997,0.73991,3.8775263554
22.47817,22.6997,1808.26001,0.74656,3.8788884354
25.0438,25.10023,1660.41003,0.73194,4.0571707997
22.67623,22.92293,1691,0.72086,4.1348973694
23.46285,23.75776,1515.57996,0.66567,1.1974205407
13.70432,14.13053,1457.34998,0.58288,1.7989439202
4.38831,6.8769,1445.37,0.57629,5.2479709493
22.224,22.39215,2042.81995,0.72637,2.9374045911
21.36833,21.48304,1979.19995,0.72099,2.5290605477
23.17624,23.40945,2214.70996,0.74871,2.6962520271
22.22172,22.36485,2120.12988,0.73931,2.3521499938
10.72475,11.19018,1657.84998,0.62206,4.5242821748
21.25089,21.50177,2008.43994,0.73586,2.0959794539
8.6641,9.32195,3931.17993,0.75135,11.9745859378
4.11429,5.34025,958.10199,0.51103,5.6161749672
4.18905,5.26587,1124.96997,0.54305,5.7827372516
5.43904,6.14398,940.74701,0.49674,5.039225214
5.5655,6.68673,4240.5,0.71314,11.7568384098
15.82205,16.15913,1673.93005,0.66965,3.8228135557
18.38514,18.68522,1915.88,0.69747,2.301570489
24.58813,24.8265,2116.58008,0.77067,2.7553232871
13.06993,13.36641,2048.83008,0.71219,7.8361181389
30.47904,30.66931,2327.32007,0.79697,2.0946780771
31.27516,31.45428,2336.56006,0.79326,2.1165382443
7.29195,7.84595,1135.95996,0.53672,4.7731700905
17.58343,18.27716,1773.67004,0.66572,1.3797453191
22.5277,22.77277,1915.95996,0.75436,2.7928024352
22.43977,22.68169,1881.15002,0.7546,2.3968638226
12.42896,12.69956,2449.11011,0.74688,6.1624561349
17.48603,18.54642,4399.62988,0.82525,10.704461609
17.47742,18.54395,4369.33984,0.8274,10.4584743986
18.13247,18.45428,1721.52002,0.69899,4.3170537514
9.98996,10.38774,1940.79004,0.64973,4.4965990474
8.64917,8.96817,1737.18994,0.60444,4.769942503
9.37472,9.86201,1816.55005,0.63382,4.0450198538
30.98799,31.81812,14885.2002,0.97976,5.4652244808
33.82956,34.43726,7853.47021,0.90719,6.1053426472
11.8173,12.27783,1800.68994,0.63545,3.2302398268
25.18439,25.57281,2023.07996,0.73861,1.9611647188
23.27554,23.57254,1502.47998,0.669,1.1613587449
23.16359,23.45655,1734.84998,0.7009,1.5898025849
23.35047,23.64665,1512.73999,0.66246,1.1188164534
23.33054,23.62181,1681.93005,0.69404,1.8427271277
23.1796,23.46923,1471.43005,0.66008,1.0941502119
41.06296,41.12154,3056.12988,0.8526,2.5168665034
16.54655,16.84207,1391.05005,0.63897,3.3669382895
13.41753,13.74617,1872.09998,0.67757,3.4911867869
21.38827,21.50274,2279.72998,0.75175,3.1909971732
27.70128,27.83857,2364.04004,0.78612,3.0110903122
17.50373,17.88578,1941.65002,0.72331,3.2728491224
22.06437,22.30064,1700.55005,0.71373,3.5230274762
21.04661,23.73233,5283.08008,0.85428,11.4835385112
23.17624,23.40945,2195.92993,0.74871,2.6938225286
10.72475,11.19018,1651.53003,0.62165,4.4373762506
17.4324,17.68848,1446.43005,0.70397,9.3307677323
18.96217,19.42127,2941.83008,0.75835,7.5486419719
20.63214,20.85688,2091,0.7371,10.1719112631
23.24997,23.52769,2544.03003,0.77318,8.9560121241
31.96671,32.11311,3197.12988,0.80917,8.9873964814
13.4128,17.50771,5107.4502,0.87765,4.8378546762
8.17402,11.20454,4119.8999,0.76148,13.6138667715
29.13681,29.3046,1693.31006,0.75974,2.6206911775
21.00102,21.6781,2653.1499,0.78306,4.8644554909
7.64839,9.02068,3724.90991,0.71715,6.8333753054
12.62514,13.13528,1791.75,0.6224,3.567149404
6.32576,7.33745,2401.1499,0.63589,7.3655989444
16.51179,16.92871,2255.54004,0.6617,3.1676213772
26.88207,27.08872,1641.29004,0.73506,3.1304367017
25.81935,26.00686,1565.29004,0.72041,3.1646397975
13.33488,13.7075,1332.06006,0.56729,1.9184766575
25.90948,26.12067,2783.37012,0.80742,2.992052508
13.98639,14.17973,1796.29004,0.66152,3.6928195523
8.57867,9.57067,4931.25977,0.74281,11.0677966173
17.10324,17.25067,1967.12,0.70002,3.5823063422
15.86913,16.40349,1832.97998,0.6872,5.8730852546
20.19841,20.61346,2507.05005,0.77062,2.7644066743
22.66778,22.92078,2242.6499,0.76332,3.015597848
16.94757,17.2834,1699.20996,0.66677,3.6127783512
23.83385,24.09674,2371.16992,0.76723,2.7797813395
21.39547,21.51866,1957.12,0.72841,3.1792668346
27.1104,27.16334,2454.73999,0.78732,2.7453471572
29.12338,29.23223,2363.71997,0.79602,2.8928274315
24.12196,24.28962,2176.04004,0.75569,3.2819111385
23.4223,23.46989,1913.72998,0.73382,2.8832365487
22.83808,23.04581,2083.53003,0.72595,2.9919145856
25.49763,25.7194,2030.47998,0.75616,3.0677547555
20.42364,20.6236,2146.65991,0.73714,3.5524904421
14.72101,14.86384,1826.75,0.65537,4.3597977466
23.31933,23.59523,2020.06006,0.73966,2.9690221486
33.38062,33.55266,1903.75,0.7857,3.2402244408
38.14163,38.29444,1972.93994,0.80779,3.2650807699
18.34897,18.8489,2376.45996,0.74755,4.4588104069
34.17223,34.32443,1722.66003,0.7754,3.5504232531
20.88178,21.18073,2259.71997,0.74867,3.1138210901
18.84527,19.12139,2232.67993,0.7327,3.349505072
11.40458,11.82847,1715.89001,0.62688,7.187282954
19.60462,19.70587,2130.20996,0.73657,3.1393153436
12.21247,12.67816,1753.32996,0.65241,3.5716979171
10.51966,10.62648,1147.26001,0.52451,4.0916587728
29.43949,29.73513,2576.3501,0.79851,2.3014465168
11.36249,11.81752,1587.04004,0.60062,5.0130847905
25.57106,25.87294,2193.28003,0.75881,2.3794756902
25.52152,25.82069,2238.55005,0.76123,2.1622193147
27.08188,27.32921,2456.6499,0.79039,2.3506324945
25.57106,25.87294,2193.28003,0.75881,2.3666031098
27.8263,28.08589,2475.63989,0.79148,2.6616407737
25.74682,26.03906,2176.33008,0.76268,1.7631631831
11.50736,11.99864,1713.39001,0.63608,3.244932233
25.36985,25.71565,3347.95996,0.79845,2.6774868701
12.51715,12.95632,1588.96997,0.62212,4.0820478404
28.48568,28.5332,2389.6499,0.75774,3.6672783484
35.14301,35.24752,2645.1499,0.79061,3.2416579979
6.26088,7.27303,2316.05005,0.65096,5.5091734052
6.59713,7.29696,3786.21997,0.70345,7.7411238362
6.17786,6.8944,1142.02002,0.52848,3.2076305024
11.92015,12.54201,1915,0.64136,5.3159235331
9.49049,9.80036,1371.90002,0.57542,2.8478885903
13.04774,13.2448,4273.2998,0.79045,8.2277901434
16.63282,16.67735,2979.86011,0.76519,12.9705091317
18.22884,18.48675,2782.98999,0.76477,3.8589421695
16.91517,17.24196,1963.31995,0.68326,3.0615969783
16.14146,16.26744,1849.31006,0.65913,3.0951504304
30.50054,30.62043,2643.08008,0.81819,6.1278999167
30.53322,30.65329,2650.09009,0.81846,5.9932754727
33.79748,33.88417,2126.71997,0.75715,6.916695177
33.05829,33.14215,2009.68005,0.75053,7.5835071351
16.34537,16.54609,1851.02002,0.662,3.1330767817
30.44155,30.61617,1370.85999,0.71251,1.6256241942
37.29637,37.44422,1495.81995,0.7522,1.6614555514
40.0173,40.15486,1602.42004,0.77337,1.6626763806
20.93119,21.11229,1948.55005,0.68795,5.1773351675
7.57497,8.18381,1044.51001,0.50914,2.622262553
14.57249,14.91078,1506.82996,0.63036,5.0980479553
21.06635,21.37339,1989.25,0.71635,2.6156642814
12.36421,12.71087,1272.20996,0.57985,4.4041532283
24.64043,24.84212,1538.44995,0.72837,5.0924711845
36.44792,36.62567,2082.1499,0.81324,3.1764630048
11.62102,12.05791,1695.35999,0.62837,3.0723466407
24.29876,24.85702,4905.41992,0.86639,14.8344908125
24.81518,25.07846,2244.46997,0.7598,2.717233246
38.04305,38.19773,2399.87988,0.82307,2.2184622165
13.28883,13.57896,3916.44995,0.76002,9.9031204465
30.76962,30.9719,2415.06006,0.80164,2.126848421
16.50094,16.85758,6083.66992,0.79999,11.3396963554
11.58813,12.00768,1495.90002,0.61646,4.6807760926
17.58148,17.83307,2045.18005,0.69869,3.6271796287
18.99929,19.28654,1973.06995,0.70872,2.0546995334
27.51509,27.7276,2205.48999,0.75964,3.4645472066
8.24197,9.93956,4897.37012,0.7997,10.2347200548
23.542,23.77902,1892.87,0.729,2.4555487887
4.4389,5.57979,1898.06995,0.62632,9.7849758423
29.5867,29.76499,2066.01001,0.78345,2.2754184685
28.13916,28.40894,1988.83997,0.76277,1.4038127018
14.94592,15.43792,1651.31995,0.64708,1.5274812977
8.77028,9.30995,1081.20996,0.52257,3.0160290617
20.88935,21.15732,1578.71997,0.6936,3.4722771238
18.74247,19.03732,2020.80005,0.71504,2.5160411794
16.38321,16.69169,1676.73999,0.64405,3.1525819527
27.93603,28.36879,4464.77002,0.87336,8.0504499994
22.59156,22.84761,1797.48999,0.74526,3.5436529785
27.09128,27.2649,2301.09009,0.77957,2.5342230416
12.65159,13.08543,2429.46997,0.73592,2.5745982485
4.47493,4.72831,548.55499,0.44152,2.5632313348
18.74906,19.01356,1250.66003,0.65563,0.9152110889
16.10076,16.34232,1978.14001,0.64396,4.1552930019
20.70572,20.83582,2145.6001,0.7336,2.5280308113
19.56542,19.82916,1862.77002,0.70218,3.2576816492
15.56387,15.8315,1903.48999,0.63037,4.3120871916
16.95967,17.26725,2094.8501,0.67586,3.4154739907
18.7193,18.98333,1250.22998,0.65552,0.9114712074
20.37757,20.70945,2432.20996,0.75802,2.5576107669
23.7649,24.00488,2335.23999,0.76087,2.5290442759
13.21513,13.58611,1387.30005,0.58393,2.4053549923
14.93228,15.42068,2083.06006,0.68401,4.270817578
16.79646,17.19289,2114.07007,0.70527,3.5798071316
8.11322,8.37051,1281.01001,0.5404,5.0681577144
28.33863,28.48026,2034.71997,0.7628,4.7685981485
34.66495,34.74847,2040.41003,0.79378,3.1118636424
28.21856,28.36846,2078.56006,0.76298,4.5382469983
22.55143,22.78255,2096.11011,0.71241,4.7977034144
19.29739,19.60248,2113.45996,0.71565,2.960121406
18.29271,18.80244,1992.07996,0.70602,2.4113890202
10.36487,10.81315,1412.91003,0.58206,4.4769166846
14.74722,15.09602,1866.30005,0.67714,3.8415239465
8.8773,9.10983,2752.65991,0.69732,9.3522752118
16.90565,17.16309,2328.71997,0.73315,5.4673300487
10.31186,10.74049,1383.64001,0.58599,2.9104018797
28.42066,28.5848,2015.31006,0.75785,2.9020376537
10.29935,10.74822,1360.73999,0.58752,3.9255616841
11.68196,12.07255,1561.03003,0.59834,3.917426553
21.85306,22.19192,2624.06006,0.74832,3.2084324086
16.55631,16.69084,2356.3501,0.72162,4.2873610702
19.83084,20.07417,2064.55005,0.73589,6.4867064829
25.47826,25.67443,1828.65002,0.75441,6.1609167234
32.98954,33.17197,2545.82007,0.82105,3.6098925034
28.52823,28.71349,1758.30005,0.74683,3.5124657271
29.53836,29.71939,2011.66003,0.77171,2.4261224202
11.16409,11.52835,4582.31982,0.77138,11.5236647996
36.35398,36.5559,1944.97998,0.76718,1.5053557688
27.81985,28.02682,1583.65002,0.69526,1.6335124821
15.82205,16.15913,1712.34998,0.66969,3.8343175665
21.35269,21.60545,1381.81995,0.68136,2.584813359
28.2693,28.47879,2360.20996,0.78886,3.2342265715
41.07724,41.24383,1907.06006,0.80898,2.9436412361
19.92352,20.13649,2879.78003,0.77849,7.6521811638
44.50286,44.62077,1887.98999,0.83009,3.2208789618
17.09611,17.39366,1659.09998,0.67767,3.3743880575
16.26602,16.67361,2131.90991,0.70402,2.6309586001
15.36758,15.76388,1810.34998,0.68822,5.2530492736
14.96924,15.41147,1938.79004,0.66975,4.3108513334
14.55347,15.19586,2288.90991,0.71468,5.1376735562
15.85733,16.11386,1812.71997,0.68801,6.0093069524
19.25408,20.34648,4395.37012,0.8146,5.85845864
14.94037,15.46864,2814.65991,0.70043,3.5125343623
31.3507,31.51253,2261.34009,0.79155,2.3178371383
11.97745,12.44176,4658.93994,0.77395,10.0088970165
28.1713,28.37474,2246.47998,0.77384,3.2875679825
26.34024,26.55682,2243.38989,0.75736,2.5121448668
29.81255,30.06839,2373.1001,0.80377,2.6799530584
29.49294,29.80022,2957.13989,0.83203,2.3916099966
25.37122,25.53746,1749.21997,0.70203,2.2515811324
22.0542,22.18069,1704.53003,0.71753,2.0034287801
17.73555,18.05831,1334.54004,0.63922,1.4355652531
21.15099,21.41237,1516.95996,0.69367,3.280416843
20.68944,20.97455,1843.23999,0.7138,2.7353026847
18.03681,18.36341,1882.62,0.67832,1.9245180675
22.64663,22.85845,1715.53003,0.71193,3.7318876661
20.88746,21.0995,1407.05005,0.68956,2.4403834352
20.64125,20.89313,1643.22998,0.71912,5.7613154877
22.37432,22.62252,1887.52002,0.73552,3.2887670068
7.16577,7.81506,1780.32996,0.59717,8.1145217732
10.86359,11.68718,2164.44995,0.65682,7.4129444967
15.87436,16.28451,2134.19995,0.68337,6.6660479736
15.50749,15.91587,2692.23999,0.73139,7.2250948285
32.91403,33.05042,5827.43994,0.95527,4.2823339571
15.16923,15.39922,12038.5996,0.89924,3.6812472526
23.44404,23.82758,1889.14001,0.70641,4.2510366722
26.57146,27.21944,2947.63989,0.79284,10.3013844442
10.44122,11.07816,1492.72998,0.60426,4.9863048389
21.04598,21.25758,1559.44995,0.69989,4.7855913478
8.17764,8.52354,2379.22998,0.6713,7.8077328749
25.64626,25.83251,887.258,0.64963,1.3669206976
