PLD (Å),LCD (Å),Sacc (m2/g-1),φ,NCO2 at 1 bar (mol/kg)
25.30476,25.68704,2293.90991,0.73848,0.6077150795
18.04318,18.33931,2152.63989,0.6805,0.2285884522
25.21032,25.45909,2609.27002,0.79385,0.2579838782
10.98125,12.52501,5124.43994,0.75873,1.8295331574
10.12633,11.59954,3856.43994,0.71232,1.2679186985
31.98616,32.11213,2488.97998,0.77281,0.4061832565
21.24913,21.39054,1387.27002,0.6229,0.4287277408
16.83324,17.12234,2403.04004,0.70765,0.2530851766
24.86859,25.33571,3463.21997,0.83065,0.3879673459
9.65747,11.09613,2302.54004,0.67166,0.2687487155
14.36485,17.57339,8392.83008,0.91796,0.3907050229
10.154,10.72378,8475.03027,0.87418,0.412694855
11.19865,11.25124,6761.89014,0.80422,1.4245155919
10.08223,10.21407,2580.72998,0.70165,0.2831464411
24.57474,31.85404,8534.80957,0.95931,0.5300738615
14.64627,14.87351,2615.26001,0.72096,0.3575484445
26.94152,27.13079,1680.04004,0.75037,0.6076844289
9.7242,10.56229,796.69299,0.57057,1.2265657391
23.89316,24.1474,2112.84009,0.70826,0.3925798786
16.82414,17.17805,1692.73999,0.59693,0.4701077834
9.74184,10.18081,1307.15002,0.57264,0.5697846141
13.58549,14.58226,2771.12012,0.70794,0.3693465087
21.34046,21.55193,1678.69995,0.7095,0.3156556959
9.06842,9.51559,605.03998,0.4842,0.2103379906
15.60159,15.98839,2212.22998,0.7068,0.2246592734
8.40883,9.02368,498.04199,0.53091,2.1847763691
10.67786,11.16226,1501.27002,0.59192,0.3088844402
35.49808,35.70981,2543.05005,0.83528,0.2611474983
11.24577,11.69348,1878.98999,0.61793,0.2703451989
17.10247,17.40166,931.42102,0.52413,0.1868672383
22.83776,23.86923,6042.70996,0.85985,1.5014233765
25.24985,25.75558,3938.86011,0.84708,0.5110001903
23.81541,24.06097,1836.46997,0.72,0.1756898673
32.05735,32.23261,1982.25,0.77406,0.1818844045
16.88399,17.68947,4052.83008,0.814,0.4106515382
38.73254,38.88757,2576.98999,0.84211,0.2454945121
37.57103,37.65768,3115.06006,0.85471,0.2949250467
26.35383,26.54457,2087.62012,0.7667,0.2577221504
25.82308,26.05354,2080.82007,0.77613,0.7033141692
38.80415,38.87484,2615.83008,0.80107,0.3913002387
12.63935,13.00429,1703.72998,0.64686,0.4303094768
19.01342,19.17629,2136.29004,0.73683,0.3418935056
27.09753,27.20541,2185.05005,0.788,0.3092529795
38.96494,39.10948,2624.19995,0.83403,0.2344998963
25.97309,26.2053,2390.20996,0.76615,0.2840306929
38.02857,38.18265,2431.3999,0.82078,0.2099733509
21.23209,21.48076,2268.12988,0.77195,0.2274210081
23.07197,23.97178,5086.93994,0.85531,2.7668331774
21.57563,22.50397,5177.08984,0.8568,2.6553444703
10.6711,11.55953,1070.43005,0.57033,0.6667554267
18.67204,18.83659,1512.76001,0.6517,0.4139984975
8.40704,8.94082,1003.71002,0.5054,0.5700904857
10.55911,10.99477,1251.15002,0.55296,0.2435188361
6.02454,6.73973,1045.28003,0.52031,1.2187431837
19.13906,19.38998,1646.42004,0.70693,0.4730463386
21.99696,22.25586,1738.93994,0.7308,0.6775752539
15.82205,16.14031,1643.07996,0.65932,0.4476921182
14.85301,15.16228,1491.92004,0.64361,0.3921854218
21.82039,21.8886,875.01703,0.64564,0.4227254824
21.37782,30.82595,6945.16016,0.93253,0.549254166
29.18206,29.3658,1965.17004,0.76261,0.2931603602
34.20807,34.38021,2126.71997,0.79858,0.3554288864
28.39359,28.54899,997.479,0.7137,0.222119279
29.45341,29.61307,2212.42993,0.78412,0.2186718021
30.33059,30.47384,1944.23999,0.78613,0.9221781562
17.50946,17.74283,1771.46997,0.70636,0.4573911011
17.39891,18.46826,4381.72021,0.82309,2.9855774811
19.00554,19.13609,1811.78003,0.71373,0.3541872435
