PLD (Å),LCD (Å),Sacc (m2/g-1),φ,NCH4 at 10 bar (mol/kg)
25.30476,25.68704,2293.90991,0.73848,2.1355405564
18.04318,18.33931,2152.63989,0.6805,1.0519546347
25.21032,25.45909,2609.27002,0.79385,1.4776073373
10.98125,12.52501,5124.43994,0.75873,3.4909255743
10.12633,11.59954,3856.43994,0.71232,2.8267797936
31.98616,32.11213,2488.97998,0.77281,2.1286491275
21.24913,21.39054,1387.27002,0.6229,1.2101570396
16.83324,17.12234,2403.04004,0.70765,1.6473555433
24.86859,25.33571,3463.21997,0.83065,2.0853412941
9.65747,11.09613,2302.54004,0.67166,1.9476462434
14.36485,17.57339,8392.83008,0.91796,2.9332741922
10.154,10.72378,8475.03027,0.87418,3.019096383
11.19865,11.25124,6761.89014,0.80422,3.6757113107
10.08223,10.21407,2580.72998,0.70165,1.8263613371
24.57474,31.85404,8534.80957,0.95931,4.0990199668
14.64627,14.87351,2615.26001,0.72096,1.9776543829
26.94152,27.13079,1680.04004,0.75037,1.3501277871
9.7242,10.56229,796.69299,0.57057,0.4693981704
23.89316,24.1474,2112.84009,0.70826,1.8285925639
16.82414,17.17805,1692.73999,0.59693,1.2808114384
9.74184,10.18081,1307.15002,0.57264,1.40210508
13.58549,14.58226,2771.12012,0.70794,1.5365954131
21.34046,21.55193,1678.69995,0.7095,1.297978175
9.06842,9.51559,605.03998,0.4842,0.765005243
15.60159,15.98839,2212.22998,0.7068,1.706452083
8.40883,9.02368,498.04199,0.53091,0.426901059
10.67786,11.16226,1501.27002,0.59192,1.5052102104
35.49808,35.70981,2543.05005,0.83528,1.7794602382
11.24577,11.69348,1878.98999,0.61793,1.6892845325
17.10247,17.40166,931.42102,0.52413,0.7729515866
22.83776,23.86923,6042.70996,0.85985,3.6616903885
25.24985,25.75558,3938.86011,0.84708,2.2935953089
23.81541,24.06097,1836.46997,0.72,1.2290949124
32.05735,32.23261,1982.25,0.77406,1.3124581196
16.88399,17.68947,4052.83008,0.814,2.2419392668
38.73254,38.88757,2576.98999,0.84211,1.8015385179
37.57103,37.65768,3115.06006,0.85471,1.9016929306
26.35383,26.54457,2087.62012,0.7667,1.3277937205
25.82308,26.05354,2080.82007,0.77613,1.7595129408
38.80415,38.87484,2615.83008,0.80107,2.1562929236
12.63935,13.00429,1703.72998,0.64686,1.3940877126
19.01342,19.17629,2136.29004,0.73683,1.6040587599
27.09753,27.20541,2185.05005,0.788,1.6294417389
38.96494,39.10948,2624.19995,0.83403,1.7879898297
25.97309,26.2053,2390.20996,0.76615,1.6679115461
38.02857,38.18265,2431.3999,0.82078,1.6135017124
21.23209,21.48076,2268.12988,0.77195,1.4527351777
23.07197,23.97178,5086.93994,0.85531,2.8844826422
21.57563,22.50397,5177.08984,0.8568,2.7862210951
10.6711,11.55953,1070.43005,0.57033,1.1168976467
18.67204,18.83659,1512.76001,0.6517,1.8463689009
8.40704,8.94082,1003.71002,0.5054,1.2566945844
10.55911,10.99477,1251.15002,0.55296,1.5441990618
6.02454,6.73973,1045.28003,0.52031,1.0984551878
19.13906,19.38998,1646.42004,0.70693,1.6806023634
21.99696,22.25586,1738.93994,0.7308,1.5453499532
15.82205,16.14031,1643.07996,0.65932,1.5044946654
14.85301,15.16228,1491.92004,0.64361,1.4777634322
21.82039,21.8886,875.01703,0.64564,1.4739751899
21.37782,30.82595,6945.16016,0.93253,3.3863350688
29.18206,29.3658,1965.17004,0.76261,1.5850196231
34.20807,34.38021,2126.71997,0.79858,1.8467230453
28.39359,28.54899,997.479,0.7137,1.4219555862
29.45341,29.61307,2212.42993,0.78412,1.4557080812
30.33059,30.47384,1944.23999,0.78613,2.6009336099
17.50946,17.74283,1771.46997,0.70636,1.8668372454
17.39891,18.46826,4381.72021,0.82309,2.7635474842
19.00554,19.13609,1811.78003,0.71373,1.8147699075
28.79472,28.86274,936.651,0.71451,1.2490800029
14.17588,16.11614,7239.43018,0.89917,3.0003065163
14.1657,16.1092,6601.52979,0.89554,2.9131686558
16.38605,16.51747,1842.12,0.67382,1.5688229202
14.61452,15.22205,2336.6001,0.72,1.521752377
25.51861,25.62212,1972.40002,0.74221,1.5732133479
24.38007,24.50352,1920.18005,0.73422,1.5136985983
23.23815,23.3108,1885.54004,0.73129,1.5234718009
23.96858,24.14078,1841.44995,0.72704,1.3890731533
20.81746,20.94701,1448.55005,0.68025,1.1625072332
19.26829,19.35467,1469.69995,0.6743,1.0752868717
4.91947,5.5683,631.85797,0.46478,0.6957491116
39.68396,39.9305,2637.72998,0.79808,1.6769215619
18.34669,18.5864,1362.32996,0.64221,1.2615511401
17.39813,17.54485,1510.25,0.6812,1.567767872
43.78149,43.89693,1841.88,0.82443,1.6708381207
10.03478,10.55424,1336.09998,0.58091,0.984665071
10.03478,10.55424,1489.54004,0.58536,1.0067634825
10.03478,10.55424,1594.46997,0.59539,0.9437947598
27.14794,27.41477,2555.88989,0.80083,1.6331849945
31.82555,31.90137,2335.69995,0.76263,2.7500972339
32.86681,33.03455,2720.17993,0.78805,2.3944696968
16.93789,17.22858,1127.60999,0.64756,0.9148424578
19.33353,19.49908,2090.81006,0.71981,1.8465224043
24.69607,24.82011,2025.39001,0.77125,1.6472752911
11.7271,12.13815,1159.67004,0.5796,0.7317888563
11.85435,12.27828,1228.58997,0.58361,0.9918073462
19.22142,20.2581,4417.16016,0.83159,1.7632473716
9.11507,9.87639,1733.82996,0.62708,1.5335489415
7.25619,7.88214,1194.67004,0.53058,1.2438639938
11.06228,11.3751,1692.01001,0.61999,1.8951122694
10.72674,11.02482,1514.69995,0.58655,1.4351979504
14.44897,15.66519,4133.66016,0.80334,2.5459275563
41.05191,41.18296,2277.42993,0.83019,1.9489444172
9.37565,10.89243,4926.83984,0.79181,2.8080259625
14.43667,14.78901,2002.96997,0.67089,1.7166225347
16.83791,17.15189,2429.28003,0.7208,1.8178685479
5.94566,7.11918,2071.25,0.61417,1.5205951449
19.77265,22.16294,7074.95996,0.90228,3.6905431929
9.18961,9.80273,1760.02002,0.61887,1.1874255238
20.79435,21.19984,3865.05005,0.83165,3.065514621
16.15375,16.51787,1693.45996,0.66858,1.9048376827
18.14826,18.49638,1738.56006,0.68262,1.5359629627
7.26129,8.03185,1407.06006,0.58642,1.354935644
6.48972,7.45349,712.04901,0.48016,0.6183073353
15.35492,15.8509,1737.81006,0.65846,1.0581269398
35.71819,35.86719,2370,0.80469,1.1367791964
25.41555,25.64462,2274.38989,0.78509,1.5581774993
32.79335,33.01595,2573.55005,0.83225,1.5555256138
9.54557,9.6007,829.42902,0.45714,0.7994119148
13.11194,13.17228,1038.40002,0.51924,1.1316034311
10.59437,12.48237,8330.88965,0.8853,3.0433239243
9.58505,10.43754,8104.58984,0.8307,3.8815666631
24.61711,29.01327,8661.80957,0.94786,3.8550397015
10.07551,12.01945,8231.87988,0.87866,3.0871401715
9.7459,10.65169,8189.8501,0.82298,4.0333394921
24.10888,28.27167,8765.76953,0.94317,3.8038963055
8.66316,9.75189,7570.58984,0.80797,4.0397145533
23.74486,28.52567,8234.7998,0.94201,3.9209232335
26.74378,26.95282,2042.22998,0.76682,1.5540836687
13.27242,13.43696,3224.87012,0.73991,2.0515012609
21.96829,23.32506,3348.3501,0.82912,2.7890251386
21.6188,27.24002,7688.12988,0.93364,3.3737053344
46.90899,47.73559,7433.39014,0.94423,4.005672622
7.14942,8.65264,2895.08008,0.68835,2.6529854484
13.62197,13.99378,1585.51001,0.64561,2.0479668714
27.87325,28.05828,1860.05005,0.76518,1.6480373166
16.60556,16.94837,1579.09998,0.67289,2.1940776928
8.10818,8.32513,1686.30005,0.61247,1.3693173205
25.93049,26.13967,2182.75,0.77892,1.644534103
20.59917,20.89927,2428.56006,0.7619,1.649708514
