PLD (Å),LCD (Å),Sacc (m2/g-1),φ,NCH4 at 10 bar (mol/kg)
35.03094,40.1766,0.942464,7624.75,3.6914868798
7.9766,11.7996,0.804327,6364.7,4.0416509253
13.62567,16.10878,0.866372,6971.9,3.3029403443
31.91347,36.1757,0.933428,5453.92,3.1179400259
15.84904,18.84564,0.85967,6363.42,3.1558773476
17.77845,25.31577,0.918279,6966.76,3.0248452833
7.59393,9.48548,0.782107,5263.36,4.2073087161
24.17708,27.17946,0.928357,7312.21,3.5344469199
13.93712,14.4913,0.796239,4802.76,3.5100262173
16.97184,25.2813,0.921522,7200.07,3.1928284046
24.25506,27.5877,0.91884,7501.58,3.5269726205
23.97437,26.3325,0.917007,7290.76,3.4008195758
9.00909,10.00776,0.693964,5125.04,3.235856279
16.51631,25.41858,0.904077,7847.78,3.2964488984
24.68129,45.50512,0.942211,8099.96,3.9045172876
15.71934,20.41847,0.907229,7721.86,3.0222019186
19.3467,24.38128,0.894463,7258.98,3.2965827557
13.19203,16.70238,0.839061,6993.68,3.2876660199
16.3877,22.98529,0.935242,8202.25,3.4628307038
15.68841,17.45161,0.85263,6621.87,3.522403745
12.60058,21.45024,0.873293,7354.04,3.1722011373
9.68629,13.8536,0.829647,6634.47,3.0730651535
21.61244,33.09051,0.939158,7571.4,3.4299743929
25.57041,59.88801,0.952005,6787.27,3.7898230996
11.42525,16.99065,0.870908,7301.22,3.3655972026
16.492,24.24059,0.939429,8289.54,3.6137449876
14.68071,22.86043,0.883709,7053.79,3.2462259402
13.91511,16.6469,0.870527,7051.54,3.3137091657
14.61139,23.89579,0.910431,7390.5,3.0664146354
11.96105,21.72729,0.866003,7406.6,3.2164867673
22.43917,26.1408,0.887192,7660.04,3.5338269354
9.27866,15.31044,0.821862,7491.44,3.2849276198
15.69346,22.318,0.932797,7948.04,3.3200402155
19.40694,31.96001,0.939989,7675.53,3.4147358034
15.47425,17.58775,0.88062,7278.01,2.9866184665
24.36005,33.10601,0.94987,7989.1,3.7725686132
15.35741,22.00102,0.926853,7633.45,3.1552973926
10.21408,15.34976,0.851229,7016.37,3.2138182776
12.08713,16.60748,0.843086,6485.96,3.0341331437
22.21375,33.16919,0.945433,7660.08,3.5557919534
22.0114,24.90031,0.887118,6975.4,3.2064308673
13.73773,15.96559,0.83212,5861.09,3.3193903563
34.58036,40.74704,0.952306,7300.44,4.0971899771
20.58331,24.82468,0.895679,6444.07,3.0901539666
25.52571,45.62654,0.945927,7610.53,3.7575198424
29.2587,60.0602,0.95534,7317.8,3.9558197764
30.92511,34.15175,0.95012,7386.18,3.5861477783
19.60894,32.15489,0.934341,7354.15,3.166720187
22.63408,26.53603,0.93805,7323.38,3.2902002594
14.92435,17.43361,0.915508,7565.33,2.9646472693
47.69791,55.69891,0.952661,7383.07,4.0235966832
21.00585,25.0217,0.893854,7372.1,3.4596900102
15.34345,18.18142,0.922717,7695.25,3.1954827862
17.52473,38.58739,0.935224,7880.36,3.777208898
17.01667,23.22146,0.933403,7977.11,3.4263808916
15.89417,18.93672,0.88454,7014.28,3.1283096411
22.7721,30.85464,0.920345,7453.7,3.6574752748
10.29267,16.288,0.830635,6416.52,3.0827364416
23.88239,25.70563,0.931849,7540.36,3.4651214732
13.7389,15.93008,0.859772,6918.2,3.2703991788
16.53602,19.22887,0.8494,7191.82,3.7264642158
14.44337,22.76321,0.885128,6905.44,3.1559658755
22.55061,25.11125,0.94916,7938.41,3.6608799521
33.36617,41.4055,0.964574,8074.75,4.6792880153
16.41546,18.4071,0.922722,8004.36,3.1690612701
16.50362,22.17456,0.927318,7990.98,3.3700673625
13.11367,16.14037,0.873177,6822.66,3.3866899081
22.57187,24.82901,0.947284,7655.38,3.6041436483
15.93541,22.12565,0.933793,7986.97,3.3866320029
15.2167,21.57413,0.929751,7589.17,3.1081030386
22.70277,24.59539,0.941478,7253.01,3.3360288157
31.12261,33.98544,0.952351,7317.66,3.5951964021
14.21588,15.60264,0.838179,5836.27,3.2706431713
14.52393,22.20198,0.888242,6652.36,3.2075581127
32.66194,33.68065,0.879202,5924.49,3.5819702862
31.61423,33.67023,0.961135,7483.97,4.0281402605
31.13403,35.22944,0.937879,6276.54,3.4955541174
9.03255,14.71944,0.79508,5522.99,3.1831880122
11.51002,14.04096,0.884601,7422.21,2.9967528491
22.67508,47.06757,0.942092,7425.7,3.5631721352
17.51925,22.6104,0.93925,7540.72,3.3503964741
11.20802,15.77341,0.872991,6727.28,3.3918300087
14.40607,16.40638,0.867244,6010.53,3.3002513103
24.0201,26.39254,0.939654,7054.2,3.6646298184
12.65404,12.90468,0.770414,3780.3,3.4407511388
9.93056,25.39618,0.899114,8078.83,3.4575908987
11.81806,16.77727,0.906083,7549.75,3.225436609
47.43025,50.89494,0.939806,7123.23,3.6623072277
14.01329,14.65266,0.815831,4702.16,3.83832833
13.93864,16.98664,0.891856,7545.23,3.1880353169
11.71461,12.3062,0.731358,4352.26,3.2864859039
34.74196,53.48772,0.939685,7113.4,3.6957071358
12.91971,23.34699,0.890639,6561.01,3.0802109351
28.13287,31.79636,0.915095,6996.32,3.2881633618
34.89446,56.26272,0.939041,7589.98,3.9285261685
23.25486,47.1199,0.929333,7058.79,3.5538565511
10.66011,12.6292,0.805977,5714.95,3.4158504549
14.91454,18.29653,0.865364,6872.46,3.5486857612
19.41041,23.61902,0.931298,7180.22,3.3856387306
14.60225,17.04924,0.851205,6521.97,3.2993480203
10.77959,26.7683,0.883329,7659.07,3.2609843567
13.06906,16.9199,0.885052,7850.22,3.2257099278
13.24417,24.31611,0.88526,6906.95,2.991755755
10.36836,28.59883,0.832305,5669.87,2.6952683039
22.7882,29.1375,0.927986,6805.35,3.4400070487
12.57987,13.7806,0.794284,3985.54,3.5955046322
13.74147,23.18406,0.899745,6687.67,2.883122281
8.18296,11.39132,0.815033,6600.46,3.9845134951
13.65872,18.22675,0.903162,7893.63,3.1437231544
14.26623,23.62121,0.906228,7497.54,2.9801772628
23.66664,27.98909,0.937778,7891.71,3.737719778
17.75079,25.0276,0.92591,7931.58,3.3496063571
10.0515,25.1773,0.884405,6970.46,2.9948402015
8.12486,13.26947,0.801368,6009.67,3.2433448031
22.77822,26.84871,0.93956,6923.86,3.3780107539
11.98513,17.20889,0.900741,7843.67,3.0737653436
9.97062,13.55546,0.795814,6488.44,3.2604274832
12.46042,14.77444,0.884025,7829.81,3.0679703313
11.36365,13.28042,0.819859,5951.97,3.1914436659
12.88427,15.0741,0.895551,7719.54,3.023374992
23.02043,46.86353,0.944841,7572.13,3.6010533083
30.27479,34.35696,0.939381,6421.23,3.5774689433
13.0636,30.50826,0.878877,6197.31,3.0844241535
8.40193,11.04358,0.801928,6163,3.814373913
34.55117,60.33416,0.952148,7588.51,3.9749170523
13.93937,16.5814,0.87035,6603.76,3.3630979769
10.06707,14.84409,0.879163,7215.4,3.0141164718
23.76601,27.89742,0.93554,7698.36,3.629412887
34.56452,38.94628,0.94193,7416,3.4913765038
34.98675,54.14133,0.950796,7376.16,3.8271416328
10.37668,14.901,0.879377,7052.43,3.0287335557
15.63215,38.62201,0.895707,7138.49,3.1911721469
13.96141,14.34309,0.818351,4659.08,3.6080260105
7.39735,10.45674,0.775324,5954.87,3.7467940294
23.73331,28.96982,0.93389,7882.31,3.609470128
35.00743,58.85156,0.949163,7614.3,3.9061167089
23.40872,25.80059,0.930789,7621.92,3.3014245508
10.17626,16.68677,0.85479,6993.46,3.0619798078
14.02399,22.64057,0.906048,7149.8,2.9269293325
23.7034,28.89678,0.938267,7522.05,3.5617218895
12.66354,27.85011,0.893932,6956.77,3.1135559772
10.47994,12.41076,0.820219,6178.91,3.1804137376
12.48132,29.42265,0.894388,6668.49,2.9110905786
9.92149,15.43237,0.858699,6756.02,3.168802809
31.16448,35.40254,0.934704,6233.95,3.485368175
13.34851,15.94859,0.855344,6951.66,3.325514751
17.90578,25.11424,0.919192,7873.84,3.2629681458
20.21277,25.49221,0.929457,7139.94,3.1602256482
9.21776,10.68924,0.743297,5144.56,3.3892077794
28.58326,31.60186,0.925011,7912.74,3.659344773
32.50076,35.76091,0.933617,7942.4,3.9283661973
23.06627,47.14526,0.9366,8146.99,3.932445211
21.79645,25.29474,0.926265,7845.7,3.4805247432
13.33533,16.38152,0.884972,7802.71,3.0061169945
22.81778,26.70899,0.931411,7717.46,3.4173454231
15.66089,29.86611,0.86439,5794.78,2.8706529994
27.0026,30.91069,0.929019,7407.87,3.3586153277
11.58329,14.04574,0.883788,7402.89,3.0191470119
16.97064,33.20401,0.911909,6741.19,3.2128934076
30.59403,32.9268,0.911851,7249.54,3.2419863646
11.49309,15.57523,0.869969,7858.84,2.911662329
28.56045,33.90707,0.891439,6769.19,3.1723358215
15.63809,18.43284,0.851267,6600.44,3.1973795179
31.66586,41.94438,0.942333,7293.02,3.6429900197
9.35446,12.56507,0.858205,6869.56,2.9793765825
23.11213,46.99785,0.928587,7129.08,3.4595440343
12.53529,15.14424,0.893693,7619.88,3.0309243193
12.09054,25.63961,0.902568,7634.41,3.5011794508
13.46615,14.94454,0.836392,6151.73,3.5942960722
8.9859,10.47761,0.760519,5517.2,3.3330540424
33.99872,38.5939,0.936669,7641.03,3.5058918947
15.34811,25.30036,0.918816,7405.98,3.1333161626
9.91749,25.54579,0.884594,6925.96,3.0315753453
20.49856,24.54211,0.923217,7032.07,3.1288783779
14.53147,16.95442,0.877403,6925.08,3.2802212814
17.8757,24.82012,0.933221,7663.1,3.2907040506
14.74388,30.01965,0.907187,7477.26,3.1664750526
16.60261,19.55088,0.91749,7373.24,3.0466071315
15.16849,18.97189,0.873147,6859.67,3.2483810665
24.61301,25.86738,0.935271,7520.84,3.3853253765
8.79226,9.97776,0.71762,4584.25,3.4443862218
12.36206,14.7587,0.868011,7078.48,3.4020341318
12.26796,14.74662,0.891395,7397.54,3.2046677329
15.30379,19.04011,0.878108,6846.82,3.2783263324
8.12221,11.22416,0.768495,5812.08,3.6231385865
16.59845,18.15887,0.832099,6422.47,3.2575536409
10.35622,16.46823,0.84073,6493.71,3.035368377
34.88417,41.29567,0.94489,7701.17,3.7450633638
7.53766,10.18048,0.811544,6911.26,4.1541100315
18.07396,25.08681,0.932598,7872.92,3.4275922377
7.88353,8.55355,0.756535,5823.03,4.1910801233
14.66095,16.87567,0.862511,6410.03,3.2045724032
13.49798,29.49199,0.894619,7151.97,3.1100039954
22.21514,26.10722,0.899379,7316.88,3.5904817681
34.98156,40.13327,0.935441,7649.77,3.7363036461
15.6268,17.9375,0.868552,7408.34,3.5907104502
11.12733,18.89815,0.868401,6246.9,3.4773169038
7.95204,10.27908,0.795815,5102.78,3.9626415998
5.84658,16.77187,0.819766,5850.59,4.2089811381
31.22861,36.12379,0.96211,8344.53,4.501033446
16.61519,19.8302,0.871051,7249.26,3.2965379237
28.73451,36.20117,0.969832,9294.15,4.9172579167
13.27669,15.15956,0.817065,5468.8,3.36675569
12.9497,15.32118,0.806033,5348.38,2.6490198611
7.18908,8.76919,0.726618,5070.61,2.9720315736
9.81033,11.04727,0.754396,4918.86,3.0622531208
12.93894,30.93853,0.887978,6314.72,2.6055501944
11.41145,21.37885,0.855665,6362.03,2.5693234038
29.00504,46.55649,0.943672,7413.26,3.6225065448
13.64031,15.71224,0.894219,7130.84,2.6643830943
23.90895,25.44634,0.945595,7638.8,3.6351722197
23.38836,25.52333,0.926436,6596.87,3.1779489489
15.53541,17.12898,0.894418,6969.87,2.9260153821
32.02258,33.79156,0.951549,7745.29,3.9085767044
32.08461,34.0265,0.957256,7152.33,3.9405279896
14.25783,15.88603,0.866893,6718.08,3.0719573027
13.1567,14.76289,0.767021,5584.52,3.0917628666
13.09987,18.85114,0.876423,6202.77,2.9647645121
10.50629,12.19912,0.806986,5775.68,3.1721937489
33.15689,33.79935,0.856062,6017.45,3.252291182
22.53037,45.72124,0.921799,6734.63,3.1129961536
13.13141,19.07534,0.884246,6263.74,2.9938627389
8.50564,11.33421,0.758927,4733.09,2.8795531703
9.22143,12.80411,0.836794,6044.24,2.887914216
10.86578,13.94118,0.795208,5807.82,3.1557539821
6.55816,8.95112,0.709015,4284.36,3.0022397381
8.34092,12.18896,0.7591,5315.73,2.5328912413
21.82531,25.24155,0.91284,7048.71,3.1671722659
23.13213,45.9316,0.92887,6346.86,3.3778382664
20.26346,25.16703,0.905769,7268.14,3.1503775265
14.06388,16.08592,0.8198,5649.73,3.0189833267
22.42322,46.2962,0.922701,6670.19,3.2839192973
14.69225,17.28667,0.868367,6676.51,2.7551098801
10.81797,12.27646,0.742588,4521.96,3.2718577622
7.5762,12.40761,0.775644,5863.24,2.9488662961
11.24201,30.70773,0.844235,5847.79,2.3709140037
7.20298,9.16791,0.750017,4749.98,3.3887920389
13.14848,20.71101,0.894228,6804.19,2.7786241071
11.35206,11.97176,0.821972,6232.9,3.7176407102
23.44575,25.1191,0.932904,6822.6,3.1593385969
14.0034,29.70311,0.906156,6644.28,2.8581020307
13.36398,15.86962,0.825674,6181.94,2.8157518869
23.05572,45.44639,0.928996,6576.56,3.2060385563
22.28492,24.9465,0.910655,6808.83,2.8495900999
13.74774,16.07233,0.816624,6259.47,3.2510057024
15.75683,16.8771,0.886343,6800.64,2.7242864789
13.7188,16.23907,0.877177,6800.41,2.745266097
10.1912,15.64298,0.823815,6086.51,2.8528060545
10.14079,11.38874,0.785441,5341.17,3.6045040775
7.67729,9.65807,0.746021,5545.75,3.20312009
13.00761,13.69836,0.811787,6008.02,3.4513683237
21.86978,25.06922,0.920674,6398.89,3.1816720139
23.64404,25.26472,0.930418,6881.44,3.2377260378
9.34694,11.92274,0.76399,5426,2.9607544131
11.09585,11.52751,0.746421,4691.04,3.5416459027
14.82612,18.69845,0.871104,7103.4,3.0842103062
13.41585,21.21569,0.866046,6599.63,3.1916608257
13.16537,15.28948,0.88448,7596.97,2.8940473755
21.51342,34.81768,0.930509,6878.97,3.3755796702
16.6038,26.96091,0.912452,8706.18,3.4097979196
20.35423,30.18207,0.89195,5141,2.7744486816
11.40647,15.02032,0.882302,7386.91,3.0828767644
17.84251,25.77341,0.921806,7431.91,3.1623091854
27.33777,27.5337,0.923208,7465.48,3.1337867745
20.63378,23.45486,0.932697,7590,3.2823757627
19.54158,25.80995,0.934868,7722.46,3.4008397911
17.12867,18.46503,0.854023,6300.32,3.0422454275
10.02862,13.28798,0.857949,7630.92,3.3541036882
9.6981,11.03138,0.78651,6207.77,3.8499820443
10.30139,13.35649,0.850976,7681.14,3.1341854182
19.14254,21.64787,0.903126,7439.57,3.0713734451
11.23418,15.68899,0.891511,7228.24,3.0750899904
20.06769,32.72411,0.895839,5544.09,2.9371978518
10.94554,15.39977,0.869592,6540.41,2.717460918
22.46605,25.88718,0.925609,6541.27,2.9745637206
22.0694,24.08306,0.913605,5686.22,2.7072504841
6.88025,8.97657,0.736007,4799.77,3.4130440853
8.51675,9.68852,0.747888,5351.73,3.202408097
16.49484,23.2853,0.887492,6590.73,3.1163516774
13.69304,16.26935,0.865337,6371.46,3.0014945482
15.87753,17.65204,0.862617,6177.19,3.1823603949
27.68667,27.98108,0.92014,7493.56,3.1334820347
27.74717,28.0635,0.925684,7243.55,3.0782641098
16.07078,20.85383,0.879966,6763.85,3.1634661803
30.81913,42.16878,0.94065,6517.31,3.6726999319
35.08418,51.78181,0.94101,6564.49,3.6856465775
11.32055,14.28523,0.875238,6861.98,2.9187580963
20.61354,22.89716,0.929719,7153.05,3.3442263497
24.49392,26.91954,0.928457,7083.41,3.2744778536
18.45444,32.35997,0.897367,5956.82,3.1221972293
8.30586,11.64188,0.78776,5510.46,3.2483383071
20.4636,22.54635,0.931324,6869.11,3.2714233574
20.78791,24.98049,0.940513,6806.37,3.2813971044
11.03818,16.0945,0.903093,6802.73,3.2427625511
20.06976,28.01654,0.935311,6862.37,3.2001958517
6.45066,9.18209,0.762501,4800.85,3.6894475581
12.89796,14.94858,0.873625,6171.6,3.1952811701
10.82064,28.86882,0.876273,5198.11,2.7998634972
13.35815,15.45873,0.803052,5398.1,3.1118382312
7.01505,10.16031,0.775522,5318.17,3.938941207
13.95586,18.24771,0.845415,5946.15,3.1635776789
9.2478,17.12558,0.772467,5199.39,2.7177002706
12.1462,13.30275,0.793788,5784.55,2.7690087677
6.02083,7.94653,0.727069,4370.65,3.299753176
9.75604,29.19741,0.864975,5098.91,2.7927454853
14.08262,18.63163,0.899927,6441.73,3.0963075328
11.58431,17.49282,0.873304,6209.88,2.8350556671
14.30237,18.23076,0.887589,6516.34,3.1308408922
14.85192,15.31444,0.846114,5716.32,2.5974923481
17.7186,19.6637,0.858318,6285.24,2.9962768244
23.88626,32.9557,0.905677,6173.62,3.1161526364
23.93498,51.28215,0.922562,6237.5,3.268322753
27.67721,30.8609,0.906995,5190.86,2.9377606382
7.79147,10.11667,0.776351,5314.64,3.8909874721
13.34912,16.04299,0.868883,5897.84,2.9117189811
30.23728,30.43863,0.887192,5772.71,3.0613116876
14.20378,18.04032,0.87821,6283.8,2.9608826105
11.22637,30.13785,0.876414,5879.71,2.9491986512
11.71576,18.79623,0.861293,5850.42,2.8168448066
18.4844,18.98737,0.86964,5549.69,2.8722355394
11.741,29.01155,0.882376,5179.22,2.6586235312
16.21304,38.51124,0.837779,4748.88,2.6762051043
10.17413,28.50629,0.871668,5466.92,2.8803284016
30.28583,30.42278,0.882132,5590.2,2.9906514611
11.48962,17.57364,0.845213,6639.43,3.0685964238
15.50519,38.13053,0.819987,4144.35,2.6832074595
17.89554,18.08122,0.832367,5789.9,2.6523801826
12.65161,18.00357,0.842334,5337.54,2.5212083008
30.45993,30.69077,0.888255,5564.05,3.0007471589
11.90992,18.24959,0.831118,5270.32,2.777847669
19.56037,19.83378,0.897907,6550.95,3.2619163116
16.16387,23.44661,0.892036,6498.82,2.9679928234
6.99568,9.35625,0.725229,4601.62,3.46558517
10.85914,17.9802,0.850804,5848.41,2.7977827357
20.332,29.00463,0.885249,5003.93,2.5955610801
16.43128,25.25385,0.793524,3812.96,2.4404398616
16.40446,38.55493,0.821723,3724.16,2.3751832068
13.89844,16.92829,0.896315,6425.68,3.1777762331
10.15671,11.91467,0.81849,5514.22,4.0036223265
14.44865,18.20308,0.908773,6665.17,3.4330646152
25.26518,26.92694,0.896627,5875.22,3.0769022353
10.70469,22.58224,0.836498,4784.62,3.1122203005
16.29797,23.2696,0.900211,6348.39,3.0138638455
23.73573,33.07532,0.905942,6030.69,3.1241886427
25.36426,26.98895,0.90519,5881.49,3.0903647035
6.64011,8.17651,0.747129,5012.23,3.5780255475
11.511,29.23638,0.89266,5878.21,2.9738739534
10.74862,22.59362,0.78523,3883.51,2.7546607022
14.92951,18.72679,0.783426,4125.32,2.8483310945
16.43008,25.13908,0.827268,4955.49,2.9951842848
6.16335,9.19492,0.745596,4761.75,3.6329609448
24.94549,27.74721,0.931034,7350.46,3.4459947848
24.13037,33.48309,0.88192,6002.56,3.0976009365
16.70754,17.99938,0.852989,6467.27,2.9812077624
7.18635,15.07968,0.761907,4837.17,3.1194246274
10.08577,14.62895,0.851636,6275.16,3.4248194673
16.9174,17.65616,0.890929,7101.52,3.2497795003
25.38261,29.28432,0.950648,7524.51,3.8700852562
23.11877,28.2477,0.946714,8397.48,3.7361469696
25.27935,28.64538,0.948753,7319.01,3.7293597238
7.9794,10.59727,0.835679,6396.19,4.3122793793
9.00088,10.8801,0.754425,4580.73,3.6406528311
18.09993,36.56942,0.909237,6364.75,3.0280622969
40.86227,47.33873,0.953583,6724.86,3.6686562551
19.98855,46.41668,0.917888,6733.53,3.1306653378
18.94807,27.82645,0.871665,5122.49,3.5477169287
4.29686,6.69538,0.431981,1702.91,2.2934831167
9.7507,11.34613,0.840439,5671.99,3.7184897684
11.05057,11.87628,0.853736,5793.94,4.4070245552
10.34409,15.77936,0.759978,4310.11,2.6489431486
26.52148,28.98267,0.940038,7399.66,3.5627833964
20.81545,45.83593,0.917531,7057.22,3.4197369539
26.09232,29.41659,0.931786,7874.82,3.7085478098
20.30769,22.63546,0.892693,7453.02,3.3086416193
13.7309,16.96271,0.914274,8195.75,3.1626178925
36.6676,38.45636,0.959676,8087.12,4.2659323809
15.13358,18.80794,0.892695,7699.34,3.4669343663
14.51139,19.76281,0.857447,6322.65,3.2679817862
32.52954,60.61549,0.969192,8098.08,4.9766363719
21.9282,23.36762,0.898581,6836.81,3.1857429005
29.75161,43.98713,0.949912,7862.72,3.9916510147
41.76426,48.58031,0.970598,8081.71,5.0477970875
11.73049,14.25392,0.822437,5630.78,3.0901569273
23.30109,23.76661,0.848033,5513.54,2.9163201755
37.50367,40.40112,0.955825,7726.48,3.9931633507
18.95224,33.67621,0.918182,7110.26,3.4934433975
36.12413,67.84683,0.964827,7698.79,4.536181829
28.25667,32.12127,0.95655,7533.89,3.9028227829
18.98201,21.22675,0.91117,7327.03,3.3763288417
14.54482,19.42829,0.890764,7157.09,3.4513197821
43.49101,43.60018,0.95636,7694.52,4.0042991522
22.27947,23.39666,0.880406,7435.33,3.226579667
52.28028,57.94747,0.97248,7739.67,5.2575639083
32.1654,62.45411,0.970009,7943.11,4.8486594863
24.17542,29.71618,0.925913,7533.31,3.4035688158
45.3923,82.70334,0.974036,7886.92,5.3132365574
23.13212,27.44376,0.913674,7173.97,3.2726696981
24.97131,28.4945,0.955171,7513.08,3.6638029764
9.25786,12.11827,0.790895,5342.16,3.1346764021
35.36169,35.96713,0.956003,7632.75,3.7083481344
14.54893,26.20781,0.917218,7388.35,3.0980988111
32.77758,41.71202,0.951018,6592.04,3.3255080002
10.97504,13.18643,0.835112,6501.12,3.029084964
31.91103,59.99426,0.960503,6872.41,3.9044137228
24.87461,30.73818,0.947799,6878.17,3.301489271
21.4262,23.24191,0.866755,4653.65,2.3722215941
21.4262,22.84183,0.787804,3625.68,2.1784099543
24.498,32.4628,0.913046,6319.32,2.8798700249
31.49559,34.74651,0.958735,7759.5,4.0591595022
30.01888,43.62576,0.944459,7308.24,3.6866850099
23.34479,25.0085,0.896472,6022.43,3.0623817662
19.95516,25.33023,0.923985,6888,3.3370224227
29.03252,48.98445,0.963216,7985.71,4.3608405223
26.88381,40.66126,0.932232,7067.85,3.2756350204
34.15423,40.15221,0.956558,7165.91,3.7925415685
34.71778,38.08635,0.955822,7511.54,3.8655803173
11.9625,17.21889,0.862723,6799.74,3.0248207168
24.68362,31.30575,0.95084,7577.75,3.6781059906
37.48229,40.38272,0.952371,7869.16,3.9761507144
14.78963,21.28545,0.894496,7660.99,3.4479309904
20.51116,41.67598,0.947435,7869.63,3.8534141713
30.35915,31.92546,0.953381,7897.86,4.0294868346
27.88543,28.21758,0.942804,7985.81,3.668341753
23.38899,38.38837,0.947812,7958.23,3.8984389571
24.52208,27.38383,0.926108,7470.27,3.5525251146
25.36979,37.54266,0.956131,8171.89,4.1140544013
40.3994,49.10425,0.963164,8035.86,4.701425815
15.75311,24.4878,0.914488,7720.38,3.2417074921
45.72468,84.60637,0.970569,8224.99,5.3496522522
24.05776,25.8583,0.952244,8377.88,3.8516591652
28.89496,48.23052,0.958882,8352.09,4.3485562587
36.50716,45.01773,0.961323,7411.99,4.1343159558
14.43245,16.36064,0.863237,6019.56,3.4413626884
40.5316,51.09145,0.968308,7500.35,4.5162393984
15.83462,20.57547,0.910118,7124.13,3.1263669238
26.30807,46.50816,0.95761,7592.51,3.9026054997
26.20266,33.12874,0.956014,7537.36,3.7946548095
45.9745,83.5903,0.977353,7781.47,5.5392969896
37.78589,41.82056,0.970439,7597.29,4.6665681611
17.19626,22.57741,0.916596,7461.39,3.4590398956
15.3524,19.94242,0.932366,7583.58,3.0649501311
63.15924,65.39509,0.969236,7454.43,4.5149754595
39.8401,50.77032,0.974386,7689.16,5.0471768501
35.58792,40.27963,0.967415,7683.2,4.4392970202
37.16905,45.12588,0.969859,7522.3,4.5048756713
35.42509,40.165,0.970834,7683.01,4.5498537471
39.99009,44.70101,0.961712,7242.53,4.2276544496
15.61076,25.29914,0.901962,6752.82,3.0603323242
13.0897,16.51219,0.879092,6568.55,3.2070154947
27.13383,30.99141,0.948644,7577.73,3.6313233514
29.55566,41.13027,0.95389,7358.07,3.7861155017
18.30909,19.71688,0.935588,7506.32,3.2622103193
16.99278,18.61835,0.865313,6433.64,3.3412298411
27.03812,27.28192,0.942156,7549.69,3.3809093741
11.77354,15.34681,0.884544,6737.79,3.4329555566
27.68381,54.57989,0.969972,7602.5,4.4606358059
32.99983,37.10826,0.966909,7676.09,4.2230173855
11.42434,15.68639,0.912472,7490.22,3.1492230299
19.9898,29.22834,0.943077,7418.17,3.4230992263
27.51334,34.80326,0.950213,7153.49,3.624487206
13.237,16.44508,0.889094,6459.48,3.3798573749
26.12126,30.28597,0.954358,7325.39,3.7421473018
12.80771,13.519,0.840182,4620.11,4.0387913145
32.76141,35.77373,0.934946,7973.54,3.76315662
26.07162,32.39512,0.927922,7351.25,3.7007607575
21.6758,26.63893,0.933494,7118.24,3.560906143
23.57675,34.12576,0.935426,7956.91,3.7876096578
14.91195,24.30392,0.902062,6873.11,3.2616788551
11.59251,18.64253,0.891142,6851.88,3.4324571128
20.31717,41.6383,0.94637,7496.81,3.6967129831
27.81097,34.94954,0.940772,7290.6,3.5945940702
10.91861,13.82875,0.87887,7668.25,3.2814055671
13.10137,13.69063,0.809504,4615.53,3.8247957489
26.11812,26.64217,0.936023,7823.36,3.5209363909
18.09539,27.91831,0.930824,7610.32,3.4288936083
40.08279,44.74039,0.948138,6338.72,4.0335487783
22.09166,30.67069,0.908774,6562.71,3.4514278073
27.19097,27.436,0.927903,7611.74,3.4648289816
23.58008,27.91189,0.934901,7857.81,3.7140328295
28.95886,39.00168,0.950961,7460.69,3.7779469078
23.69586,28.11698,0.950758,7352.7,3.6613108513
19.98614,29.25889,0.934205,8003.84,3.5979117502
27.62928,34.68117,0.935139,7228.96,3.5145997683
17.16665,20.50992,0.930423,7823.64,3.4306920053
18.04867,19.40286,0.924168,8134.78,3.4398695498
11.08551,13.83404,0.870332,7909.13,3.3454913909
9.98957,14.55182,0.875854,7767.63,3.3256185472
33.91368,59.93462,0.950923,7886.43,4.2001817445
25.99884,26.53146,0.925097,7645.56,3.5287791715
31.6734,38.02987,0.937481,6730.31,3.6786708249
27.64689,34.9666,0.937546,7075.6,3.5427498763
10.61601,18.44263,0.857744,6327.11,3.3157356802
35.87784,42.27235,0.949523,7748.82,3.8827826989
17.28515,28.08371,0.912426,7765.36,3.275786693
19.22364,36.59289,0.940231,7010.25,3.5164354337
19.77603,35.85512,0.915702,6441.91,3.3870541127
38.75378,43.19381,0.967289,7528.33,4.5666580157
12.44006,16.6803,0.917213,7798.47,3.0149186592
30.44141,36.47653,0.956754,7613.13,3.9726858321
17.70392,23.45925,0.911532,6906.82,3.3262680746
12.11839,15.55689,0.907592,7846.43,3.0664813212
12.03273,18.93956,0.891498,7197.72,3.2632128376
10.74684,17.10544,0.850863,6550.1,3.5791188829
11.75091,17.51382,0.868995,6298.17,3.1140932893
18.79518,20.18844,0.938008,7952.66,3.5004441407
18.43851,31.19388,0.905776,7313.94,3.4794903327
15.32299,21.09694,0.897498,7554.88,3.4376098813
15.81059,24.81233,0.907452,6878.75,3.0703366171
20.01112,29.26438,0.944286,7718.08,3.3609518131
19.03867,20.80241,0.943368,7793.49,3.3800620145
26.68488,26.96376,0.945733,7666.99,3.4585375179
40.9506,45.47823,0.959447,7311.81,4.2171924942
20.37728,34.07054,0.918397,7007.3,3.3233013777
12.70212,16.16167,0.871749,6637.26,3.1875493399
29.57531,40.36448,0.95782,7639.91,4.0529323812
35.73526,66.66371,0.96134,7607.34,4.3140453419
39.53821,44.55575,0.961693,7380.48,4.2259104196
15.82509,24.74721,0.908768,6862.5,3.0804466508
17.95109,18.8742,0.935976,7762.37,3.2688079838
